,Address,City,Zip Code,Price,sqft,# of Beds,# of Baths
2442,3916 Amberwood Drive,Addison,75001,399900,,3.0,4.0
2443,3834 Canot Lane,Addison,75001,495000,,3.0,3.0
2444,14588 Poe Court,Addison,75001,449900,,3.0,3.0
2445,4130 Proton Drive,Addison,75001,195000,,1.0,2.0
2446,15875 Spectrum Drive,Addison,75001,439000,,3.0,3.0
2447,5055 Addison Circle,Addison,75001,385000,,2.0,3.0
2449,4102 Oberlin Way,Addison,75001,349000,,3.0,3.0
2452,14975 Oak Street,Addison,75001,591000,,3.0,4.0
2454,14965 Oak Street,Addison,75001,590000,,3.0,4.0
2455,14947 Oak Street,Addison,75001,485000,,3.0,4.0
2456,14949 Oak Street,Addison,75001,475000,,3.0,4.0
2457,14961 Oak Street,Addison,75001,599000,,3.0,4.0
2459,14816 Bellbrook Drive,Addison,75254,1877000,,3.0,7.0
2462,14977 Oak Street,Addison,75001,594000,,3.0,4.0
2463,15762 Seabolt,Addison,75001,449900,,3.0,4.0
2465,3940 Asbury Lane,Addison,75001,385000,,4.0,4.0
2476,14981 Oak Street,Addison,75001,495900,,3.0,4.0
2477,14929 Havenshire Place,Addison,75254,2195000,,4.0,6.0
2478,25 Glen Abbey Drive,Dallas,75248,5895000,,4.0,8.0
2479,5508 Bent Trail,Dallas,75248,825000,,4.0,4.0
2480,5007 Briar Tree Drive,Dallas,75248,569000,,4.0,4.0
2481,5017 Briar Tree Drive,Dallas,75248,520000,,3.0,4.0
2483,8 Green Park,Dallas,75248,2795000,,5.0,7.0
2485,39 Braewood Place,Dallas,75248,3795000,,5.0,7.0
2486,23 Ash Bluff Lane,Dallas,75248,7500000,,7.0,9.0
2487,14 Abbey Creek Way,Dallas,75248,1249000,,3.0,3.0
2488,31 Abbey Creek Way,Dallas,75248,1650000,,3.0,4.0
2489,1609 Promontory Drive,Cedar Hill,75104,1225000,,5.0,7.0
2490,807 Clover Hill Lane,Cedar Hill,75104,239900,,3.0,2.0
2491,716 High Drive,Cedar Hill,75104,280000,,3.0,2.0
2492,1129 Wishing Well Court,Cedar Hill,75104,454000,,5.0,3.0
2493,732 W Parkerville Road,Cedar Hill,75104,199000,,3.0,1.0
2494,1084 Magnolia Lane,Cedar Hill,75104,259900,,4.0,2.0
2495,422 Hageman Lane,Cedar Hill,75104,430000,,5.0,5.0
2496,2303 Autumn Run Court,Cedar Hill,75104,615000,,4.0,4.0
2497,500 Grand Teton Street,Cedar Hill,75104,179997,,3.0,2.0
2498,438 Tranquility Lane,Cedar Hill,75104,260000,,3.0,2.0
2499,722 Cindy Drive,Cedar Hill,75104,274900,,3.0,3.0
2500,821 Witherspoon Court,Cedar Hill,75104,200000,,3.0,4.0
2501,122 Cooper Street,Cedar Hill,75104,225000,,3.0,2.0
2502,407 Mckinley Street,Cedar Hill,75104,275000,,5.0,3.0
2503,519 Antoine Street,Cedar Hill,75104,158000,,3.0,1.0
2504,1306 Flagstone,Cedar Hill,75104,276000,,3.0,2.0
2505,1019 Essex Drive,Cedar Hill,75104,246000,,3.0,2.0
2506,426 Hageman,Cedar Hill,75104,360000,,4.0,3.0
2507,929 Vedral Place #929,Cedar Hill,75104,134500,,3.0,3.0
2508,731 Hawthorn Drive,Cedar Hill,75104,245900,,4.0,2.0
2509,301 Oak Lane,Cedar Hill,75104,268000,,5.0,3.0
2510,729 Gibson Street,Cedar Hill,75104,285000,,4.0,3.0
2511,1507 Baker Drive,Cedar Hill,75104,249900,,3.0,2.0
2512,1422 Baker Drive,Cedar Hill,75104,260000,,3.0,2.0
2513,765 Lowe Drive,Cedar Hill,75104,258990,,4.0,3.0
2514,1320 N Cedar Hill Road,Cedar Hill,75104,1299000,,5.0,9.0
2515,324 Wentwood Drive,Cedar Hill,75104,250000,,3.0,2.0
2516,2812 Sonterra Drive,Cedar Hill,75104,665000,,4.0,6.0
2517,324 Texas Street,Cedar Hill,75104,145000,,1.0,1.0
2518,2829 Eden Drive,Cedar Hill,75104,570000,,4.0,5.0
2519,2813 Sonterra Drive,Cedar Hill,75104,749500,,4.0,4.0
2520,1402 Samuel Street,Cedar Hill,75104,268000,,4.0,3.0
2521,456 Dollins Street,Cedar Hill,75104,150000,,2.0,2.0
2522,312 Birchwood Lane,Cedar Hill,75104,269900,,4.0,3.0
2523,105 Sagittarius Drive,Cedar Hill,75104,190000,,3.0,2.0
2524,1027 Aries Street,Cedar Hill,75104,226000,,4.0,2.0
2525,700 Meandering Drive,Cedar Hill,75104,275000,,5.0,3.0
2526,1027 E Wintergreen Road,Cedar Hill,75104,249999,,2.0,2.0
2527,1110 Heather Circle,Cedar Hill,75104,490000,,5.0,4.0
2528,507 Evergreen Trail,Cedar Hill,75104,295000,,3.0,2.0
2529,2706 Fountain View Boulevard,Cedar Hill,75104,320000,,2.0,3.0
2530,332 Windy Meadow Drive,Cedar Hill,75104,439900,,4.0,3.0
2531,1027 E Wintergreen RD,Cedar Hill,75104,249999,,2.0,2.0
2532,2613 Whispering Oaks Cove,Cedar Hill,75104,539900,,6.0,5.0
2533,1020 Hampshire Lane,Cedar Hill,75104,345000,,5.0,3.0
2534,1737 Valley View Drive,Cedar Hill,75104,1700000,,4.0,4.0
2535,1420 Middleton Drive,Cedar Hill,75104,239990,,3.0,3.0
2536,1449 Kingswood Drive,Cedar Hill,75104,292449,,3.0,2.0
2537,806 Sleepy Hollow Drive,Cedar Hill,75104,355000,,5.0,4.0
2538,1422 Peak Street,Cedar Hill,75104,850000,,5.0,6.0
2539,914 Cresthaven Drive,Cedar Hill,75104,176645,,2.0,2.0
2541,1523 Spring Hill Drive,Cedar Hill,75104,414766,,4.0,4.0
2542,810 Belclaire Circle,Cedar Hill,75104,579500,,5.0,5.0
2543,1546 Regal Bluff Drive,Cedar Hill,75104,423488,,3.0,3.0
2544,318 La Reata Court,Cedar Hill,75104,524900,,3.0,5.0
2545,1089 Cove Hollow Drive,Cedar Hill,75104,265000,,4.0,3.0
2546,416 Everest Court,Cedar Hill,75104,249000,,4.0,2.0
2547,415 Meadow Ridge Drive,Cedar Hill,75104,242500,,3.0,2.0
2548,324 Shady Brook Lane,Cedar Hill,75104,455000,,4.0,3.0
2549,2449 Briarwood Cove,Cedar Hill,75104,530000,,4.0,4.0
2550,807 Laurel Hills,Cedar Hill,75104,480000,,4.0,3.0
2551,2422 Creekwood Drive,Cedar Hill,75104,1800000,,7.0,9.0
2552,1516 Curtis Lane,Cedar Hill,75104,160000,,3.0,2.0
2553,822 Clover Hill Lane,Cedar Hill,75104,330000,,4.0,3.0
2554,1523 Legacy Drive,Cedar Hill,75104,386282,,3.0,2.0
2555,1507 Legacy Dr. Drive,Cedar Hill,75104,419001,,4.0,3.0
2556,2449 Mountain View Court,Cedar Hill,75104,9950000,,8.0,10.0
2565,1412 Ravenwood DR,Arlington,76013,199000,,3.0,2.0
2566,1908 Cloisters Drive,Arlington,76011,143000,,2.0,1.0
2567,1815 E Timberview Lane,Arlington,76014,185000,,3.0,2.0
2568,4810 Ashworth Court,Arlington,76017,220000,,3.0,2.0
2569,966 Grasswood Court,Arlington,76017,245000,,3.0,2.0
2570,6522 Tempest Drive,Arlington,76001,249900,,3.0,2.0
2571,3702 Fort Hunt Drive,Arlington,76016,269990,,3.0,2.0
2572,1917 Creek Wood Drive,Arlington,76006,299500,,4.0,3.0
2573,2003 Reverchon Drive,Arlington,76017,325000,,4.0,3.0
2574,3608 Antares Way,Arlington,76016,399000,,4.0,4.0
2575,3103 Alps Court,Arlington,76012,495000,,4.0,3.0
2576,5405 Rome Court,Arlington,76017,579000,,4.0,4.0
2577,7371 June Evening Drive,Arlington,76001,90000,,3.0,2.0
2578,1617 Carswell Terrace,Arlington,76010,140000,,3.0,1.0
2579,2010 Brookshire Street,Arlington,76010,149000,,3.0,1.0
2580,1916 Melissa Street,Arlington,76010,155000,,2.0,1.0
2581,109 Pine Street,Arlington,76011,163900,,3.0,1.0
2582,331 Valley Spring Drive,Arlington,76018,199000,,3.0,2.0
2583,1811 W Tucker Boulevard,Arlington,76013,209900,,3.0,2.0
2584,1004 Hensley Street,Arlington,76010,210000,,4.0,2.0
2585,404 Waterford Circle,Arlington,76014,218000,,3.0,2.0
2586,1511 Glenwillow Drive,Arlington,76018,220000,,3.0,2.0
2587,2405 Skylark Drive,Arlington,76010,224900,,4.0,2.0
2588,4004 Cypress Springs Drive,Arlington,76001,225000,,3.0,2.0
2589,3500 Hastings Drive,Arlington,76013,229000,,3.0,2.0
2590,1004 W Lovers Lane,Arlington,76013,229995,,3.0,2.0
2591,2802 Dover Gardens Drive,Arlington,76017,245000,,3.0,3.0
2592,8421 Cotton Valley Lane,Arlington,76002,259900,,3.0,2.0
2593,5731 Autumn Wheat Trail,Arlington,76017,265000,,4.0,3.0
2594,3012 David Lane,Arlington,76013,275000,,4.0,3.0
2595,1306 W Lavender Lane,Arlington,76013,279900,,4.0,3.0
2596,3947 Cascade Sky Drive,Arlington,76005,282000,,2.0,3.0
2597,2901 Pitkin Drive,Arlington,76006,285000,,3.0,3.0
2598,3904 Castlehill Court,Arlington,76016,289900,,4.0,3.0
2599,1615 Barclay Drive,Arlington,76018,290000,,4.0,2.0
2600,908 Bert Drive,Arlington,76012,314900,,3.0,2.0
2601,4615 Hillside Drive,Arlington,76013,315000,,4.0,3.0
2602,2105 Oak Bluff Drive,Arlington,76006,315000,,4.0,3.0
2603,514 Gunnison Drive,Arlington,76006,320000,,4.0,2.0
2604,1513 Freeman Court,Arlington,76013,320000,,4.0,3.0
2605,2201 Vail Court,Arlington,76012,325000,,3.0,3.0
2606,6702 Saddle Ridge Road,Arlington,76016,349900,,3.0,2.0
2607,673 Farmstead Drive,Arlington,76002,355000,,4.0,3.0
2608,4301 Churchwood Drive,Arlington,76016,375000,,4.0,3.0
2609,4804 Pier Nine Drive,Arlington,76016,382000,,4.0,3.0
2610,2301 Point Star Drive,Arlington,76001,400000,,4.0,4.0
2611,2605 Cypress Hills Court,Arlington,76006,485000,,4.0,3.0
2612,2404 River Rock Circle,Arlington,76006,670000,,4.0,4.0
2613,4328 Cobalt Bloom Court,Arlington,76005,869900,,4.0,4.0
2614,1409 Sylvan Drive,Arlington,76012,180000,,3.0,2.0
2615,921 Mckinney Street,Arlington,76012,200000,,3.0,2.0
2616,6103 Tidewater Drive,Arlington,76018,219900,,3.0,2.0
2617,1109 Paula Drive,Arlington,76012,222000,,3.0,2.0
2618,317 Iberis Drive,Arlington,76018,228000,,3.0,3.0
2619,301 Cecile Court,Arlington,76013,229900,,3.0,2.0
2620,5918 Wind Drift Trail,Arlington,76017,230000,,3.0,2.0
2621,4710 Andalusia Trail,Arlington,76017,240000,,3.0,2.0
2622,2205 Polo Club Court,Arlington,76017,250000,,3.0,2.0
2623,1811 Swaim Court,Arlington,76001,255000,,3.0,2.0
2624,6015 Maple Leaf Drive,Arlington,76017,259999,,4.0,2.0
2625,2014 Chantilly Court,Arlington,76015,274900,,3.0,2.0
2626,7502 Marsland Lane,Arlington,76001,279990,,3.0,3.0
2627,3108 Stornoway Trail,Arlington,76012,280000,,3.0,2.0
2628,2514 Mustang Drive,Arlington,76001,289900,,4.0,2.0
2629,1615 Barclay DR,Arlington,76018,290000,,4.0,2.0
2630,9115 Acre Meadows Lane,Arlington,76002,300000,,3.0,2.0
2631,1918 Rockbrook Drive,Arlington,76006,300000,,4.0,3.0
2632,1209 Redbud Drive,Arlington,76012,310000,,4.0,3.0
2633,6333 Weaver Drive,Arlington,76001,316000,,3.0,2.0
2634,823 Ogden Drive,Arlington,76001,339900,,5.0,3.0
2635,4505 Evening Elm Court,Arlington,76005,346439,,2.0,2.0
2636,1917 Parktree Drive,Arlington,76001,349900,,4.0,3.0
2637,1804 Oak Grove Drive,Arlington,76013,350000,,4.0,3.0
2638,4511 Evening Elm Court,Arlington,76005,350477,,2.0,2.0
2639,2207 New Mill Lane,Arlington,76012,375000,,4.0,3.0
2640,8218 Holly Hock Drive,Arlington,76001,378900,,4.0,3.0
2641,3704 Vista Chase Court,Arlington,76001,385000,,5.0,3.0
2642,8231 Tombstone Drive,Arlington,76001,424900,,6.0,4.0
2643,2700 Stonebriar Court,Arlington,76001,425000,,4.0,3.0
2644,2320 Chimney Hill Drive,Arlington,76012,436000,,4.0,3.0
2645,3502 Yachtclub Court,Arlington,76016,579000,,5.0,4.0
2646,1328 Viridian Park Lane,Arlington,76005,579500,,4.0,4.0
2647,4023 Jasmine Fox Lane,Arlington,76005,599999,,4.0,4.0
2648,5524 Hunterwood Lane,Arlington,76017,615000,,4.0,4.0
2649,6301 Walnut Springs Drive,Arlington,76001,139900,,3.0,2.0
2650,2606 Brentwood Circle,Arlington,76013,160000,,3.0,2.0
2651,827 Magnolia Street,Arlington,76012,169900,,2.0,1.0
2652,709 Connally Terrace,Arlington,76010,175000,,3.0,2.0
2653,808 Biggs Terrace,Arlington,76010,175500,,3.0,1.0
2654,520 W Inwood Drive,Arlington,76010,196000,,4.0,1.0
2655,1533 Connally Terrace,Arlington,76010,205000,,3.0,2.0
2656,1409 Roanoke Street,Arlington,76014,219900,,4.0,2.0
2657,6610 Saddle Ridge Road,Arlington,76016,243700,,3.0,2.0
2658,903 Dunkirk Lane,Arlington,76017,245500,,3.0,2.0
2659,5305 Hillcroft Avenue,Arlington,76018,249900,,3.0,2.0
2660,1001 Gaye Lane,Arlington,76012,250000,,3.0,1.0
2661,2012 Ravinia Circle,Arlington,76012,250000,,3.0,2.0
2662,2303 Villanova Street,Arlington,76018,270000,,4.0,2.0
2663,5108 Cory Court,Arlington,76017,289900,,3.0,2.0
2664,1009 Briarcliff Drive,Arlington,76012,299000,,3.0,2.0
2665,709 Castle Oak Court,Arlington,76012,309990,,3.0,3.0
2666,6302 Weaver Drive,Arlington,76001,325000,,4.0,2.0
2667,9214 Squirrel Run Court,Arlington,76002,334900,,4.0,2.0
2668,2901 Redstone Drive,Arlington,76001,350000,,4.0,3.0
2669,3412 Woodford Drive,Arlington,76013,420000,,3.0,3.0
2670,2007 Thames Drive,Arlington,76017,465000,,5.0,3.0
2671,418 Joyce Street,Arlington,76010,139900,,3.0,1.0
2672,419 Darlene Lane,Arlington,76010,155000,,3.0,2.0
2673,1118 Bell Street,Arlington,76001,179900,,3.0,2.0
2674,925 Cedarland Boulevard,Arlington,76011,199000,,2.0,2.0
2675,3004 Sunnybrook Lane,Arlington,76014,220000,,3.0,2.0
2676,5518 Silver Maple Drive,Arlington,76018,220000,,3.0,2.0
2677,1004 Hunter Ridge Drive,Arlington,76013,235000,,3.0,2.0
2678,1040 Mazourka Drive,Arlington,76001,235000,,3.0,2.0
2679,4417 Kelly Elliott Road,Arlington,76017,255000,,3.0,2.0
2680,4117 CYPRESS SPRINGS Road,Arlington,76001,260000,,3.0,2.0
2681,1912 Woods Drive,Arlington,76010,295000,,4.0,3.0
2682,3823 Rochelle Drive,Arlington,76016,320000,,3.0,2.0
2683,3406 Lynnwood Court,Arlington,76013,320000,,4.0,3.0
2684,6302 Weaver DR,Arlington,76001,325000,,4.0,2.0
2685,6905 Thornbird Lane,Arlington,76001,339900,,4.0,3.0
2686,1108 River Park Drive,Arlington,76006,400000,,5.0,3.0
2687,2219 Ridgeway Street,Arlington,76010,97000,,2.0,1.0
2688,5617 Mansfield Road,Arlington,76017,119000,,2.0,2.0
2689,1608 Pecan Chase Circle,Arlington,76012,125000,,2.0,2.0
2690,1717 Jocyle Street,Arlington,76010,175000,,4.0,2.0
2691,819 W Lonesome Dove Trail,Arlington,76001,209900,,3.0,2.0
2692,2420 Jewell Drive,Arlington,76016,228000,,4.0,2.0
2693,3708 French Wood Drive,Arlington,76016,229500,,3.0,2.0
2694,3514 Elgenwood Trail,Arlington,76015,220000,,3.0,2.0
2695,2309 Pheasant Trail,Arlington,76016,225000,,2.0,2.0
2696,306 Lone Wolf Court,Arlington,76002,265000,,4.0,2.0
2697,7405 Dodd Court,Arlington,76016,300000,,4.0,3.0
2698,954 White Dove Drive,Arlington,76017,330000,,5.0,3.0
2699,606 Eldoro Drive,Arlington,76006,340000,,4.0,3.0
2700,5924 Walden Trail,Arlington,76016,349900,,4.0,2.0
2701,4411 Three Oaks Drive,Arlington,76016,365000,,5.0,3.0
2702,2702 Monarch Drive,Arlington,76006,435000,,4.0,4.0
2703,2906 Shadow Drive W,Arlington,76006,2500000,,4.0,7.0
2704,1712 Baird Farm Circle,Arlington,76006,89900,,1.0,1.0
2705,1519 Camellia Drive,Arlington,76013,179900,,4.0,2.0
2706,2505 Elm Forest Circle,Arlington,76006,198999,,2.0,4.0
2707,2329 Lucas Drive,Arlington,76015,200000,,3.0,2.0
2708,5825 Clarion Trail,Arlington,76017,215000,,3.0,2.0
2709,5100 Hawkins Cemetery Road,Arlington,76017,229000,,3.0,2.0
2710,915 Baldwin Drive,Arlington,76012,289900,,3.0,2.0
2711,2312 Wakeforest Court,Arlington,76012,440000,,5.0,5.0
2712,1002 Crowley Road,Arlington,76012,474900,,5.0,4.0
2713,2324 Panorama Court,Arlington,76016,2700000,,7.0,13.0
2714,1100 Harwell Drive,Arlington,76011,155000,,2.0,2.0
2715,1803 Oak Tree Lane,Arlington,76013,175000,,3.0,1.0
2716,2028 Menefee Street,Arlington,76010,185000,,3.0,1.0
2717,296 Westview Terrace,Arlington,76013,200000,,3.0,3.0
2718,201 Volunteer Drive,Arlington,76014,245000,,3.0,2.0
2719,3610 Montridge Court,Arlington,76016,255000,,3.0,2.0
2720,4306 Montpelier Court,Arlington,76017,260000,,3.0,2.0
2721,1600 Shelmar Court,Arlington,76014,269500,,5.0,3.0
2722,2423 S Pleasant Circle,Arlington,76015,285000,,4.0,2.0
2723,907 Carthage Way,Arlington,76017,285000,,3.0,2.0
2724,4341 Vine Ridge Court,Arlington,76017,299900,,4.0,3.0
2725,9328 Moon River Drive,Arlington,76002,325000,,4.0,3.0
2726,704 W Main Street,Arlington,76010,393470,,2.0,3.0
2727,2201 Emerald Oaks Court,Arlington,76017,449000,,5.0,5.0
2728,2611 Oates Lane,Arlington,76006,499000,,4.0,5.0
2729,4734 Cherry Bark Trail,Arlington,76005,720000,,3.0,3.0
2730,2300 Bamboo Drive,Arlington,76006,115000,,2.0,1.0
2731,219 Overhill Drive,Arlington,76010,155000,,3.0,2.0
2732,2014 Menefee Street,Arlington,76010,175000,,3.0,2.0
2733,2606 Sherry Street,Arlington,76014,190000,,3.0,2.0
2734,1706 Manchester Drive,Arlington,76012,215000,,3.0,2.0
2735,5719 Myers Road,Arlington,76017,219900,,3.0,2.0
2736,1707 E Park Row Drive,Arlington,76010,219999,,3.0,1.0
2737,7125 GREENSPOINT Drive,Arlington,76001,220000,,3.0,2.0
2738,5006 Bayberry Drive,Arlington,76017,225000,,3.0,2.0
2739,901 Mulder Drive,Arlington,76001,230000,,3.0,2.0
2740,5217 Vista Verde Drive,Arlington,76017,240000,,4.0,2.0
2741,4924 Stage Line Drive,Arlington,76017,255000,,4.0,2.0
2742,3902 Shady Valley Drive,Arlington,76013,275000,,4.0,3.0
2743,811 Dunkirk Lane,Arlington,76017,275000,,4.0,2.0
2744,4416 Terraview Drive,Arlington,76001,309990,,3.0,3.0
2745,4139 Snow Goose Trail,Arlington,76005,315000,,3.0,3.0
2746,4503 Long Island Lane,Arlington,76017,329900,,5.0,3.0
2747,5505 Cavalry Post Drive,Arlington,76017,359900,,5.0,4.0
2748,8204 SILVERTON Drive,Arlington,76001,370000,,4.0,3.0
2749,706 N Center Street,Arlington,76011,374990,,3.0,3.0
2750,2305 Bear Run Road,Arlington,76001,375000,,4.0,4.0
2751,521 E Lynn Creek Drive,Arlington,76002,375000,,4.0,3.0
2752,700 N Center Street,Arlington,76011,414990,,3.0,3.0
2753,2200 NW Green Oaks Boulevard,Arlington,76012,3450000,,6.0,9.0
2754,507 Valley Spring Drive,Arlington,76018,210000,,3.0,2.0
2755,611 E Lynn Creek Drive,Arlington,76002,254900,,4.0,2.0
2756,5614 Sarasota Drive,Arlington,76017,270000,,4.0,3.0
2757,8314 Wesson Road,Arlington,76002,280000,,3.0,2.0
2758,4702 Aramis Drive,Arlington,76016,319900,,4.0,3.0
2759,7305 Bay Chase Drive,Arlington,76016,338000,,5.0,3.0
2760,1531 Connally Terrace,Arlington,76010,194900,,3.0,2.0
2761,1611 E Lovers Lane,Arlington,76010,215000,,3.0,2.0
2762,407 E Lavender Lane E,Arlington,76010,218000,,3.0,2.0
2763,4910 Green Hollow Drive,Arlington,76017,223700,,3.0,2.0
2764,1415 Carswell Terrace,Arlington,76010,224900,,4.0,2.0
2765,1718 Briar Meadow Drive,Arlington,76014,240000,,3.0,2.0
2766,5909 Mission Ridge Drive,Arlington,76016,250000,,3.0,2.0
2767,1510 Tatum Drive,Arlington,76012,275000,,3.0,3.0
2768,3212 W Sublett Road,Arlington,76017,335000,,3.0,2.0
2769,3115 Woodford Drive,Arlington,76013,339000,,5.0,3.0
2770,4321 Garnet Jade Drive,Arlington,76005,389000,,4.0,3.0
2771,3403 Cambridge Drive,Arlington,76013,405000,,4.0,3.0
2772,1301 Saint Michaels Drive,Arlington,76011,140000,,1.0,1.0
2773,2132 Hedgerow Street,Arlington,76010,157800,,3.0,1.0
2774,4937 Highbank,Arlington,76018,210000,,3.0,2.0
2775,6207 Minuteman Lane,Arlington,76002,224900,,3.0,3.0
2776,3704 Ravenhill Lane,Arlington,76016,232500,,3.0,2.0
2777,6108 Summerfield Drive,Arlington,76018,245000,,4.0,2.0
2778,6500 Greenspring Drive,Arlington,76016,260000,,3.0,2.0
2779,4702 Island Bay Drive,Arlington,76016,275000,,4.0,3.0
2780,4304 Meadow Hawk Drive,Arlington,76005,415000,,3.0,3.0
2781,4401 Murwick Drive,Arlington,76016,524900,,5.0,4.0
2782,2612 Roberts Circle,Arlington,76010,179900,,3.0,2.0
2783,1819 Will Scarlet Road,Arlington,76013,185000,,3.0,1.0
2784,5404 Grissom Drive,Arlington,76016,224900,,3.0,2.0
2785,6203 Vista Wood Drive,Arlington,76017,318000,,3.0,3.0
2786,3903 Silkwood Trail,Arlington,76016,379000,,4.0,3.0
2787,2404 Vintage Drive,Arlington,76001,389000,,4.0,3.0
2788,1408 Helen Circle,Arlington,76011,199000,,3.0,2.0
2789,1907 River Bend Road,Arlington,76014,215000,,4.0,2.0
2790,722 Sendero Drive,Arlington,76002,265000,,3.0,2.0
2791,2207 Franklin Drive,Arlington,76011,285000,,3.0,2.0
2792,2401 St Gregory Street,Arlington,76013,297000,,3.0,3.0
2793,1305 Autumn Mist Way,Arlington,76005,449900,,4.0,3.0
2794,1208 Horizon Trail,Arlington,76011,125000,,2.0,1.0
2795,2010 Cloisters Drive,Arlington,76011,165000,,2.0,2.0
2796,1507 Hillcrest Drive,Arlington,76010,175000,,3.0,2.0
2797,2507 Pinegrove Circle,Arlington,76006,200000,,3.0,3.0
2798,903 Moorhead Court,Arlington,76014,249900,,3.0,2.0
2799,123 Volunteer Drive,Arlington,76014,249900,,3.0,2.0
2800,116 W Lavender Lane,Arlington,76010,265000,,3.0,2.0
2801,1608 Northridge Drive,Arlington,76012,269900,,3.0,3.0
2802,1928 Salt Flats Trail,Arlington,76002,284900,,4.0,3.0
2803,706 N Emma Drive,Arlington,76002,292000,,3.0,2.0
2804,5304 BRADLEY Lane,Arlington,76017,299999,,4.0,3.0
2805,3608 Tristan Court,Arlington,76016,399700,,4.0,7.0
2806,6504 Saddle Ridge,Arlington,76016,435000,,4.0,3.0
2807,1820 Spotted Fawn Drive,Arlington,76005,481787,,2.0,2.0
2808,1401 Cardinal Street,Arlington,76010,99500,,3.0,1.0
2809,1608 Pecan Chase Circle 41,Arlington,76012,125000,,2.0,2.0
2810,1815 Edna Street,Arlington,76010,165000,,2.0,1.0
2811,510 Salem Drive,Arlington,76014,199500,,4.0,2.0
2812,2006 Bay Oaks Drive,Arlington,76012,255000,,3.0,2.0
2813,704 Underhill Drive,Arlington,76002,290000,,3.0,2.0
2814,3600 Lake Champlain Drive,Arlington,76016,325000,,4.0,3.0
2815,3623 Lake Pontchartrain Drive,Arlington,76016,335000,,4.0,3.0
2816,2430 Cloverdale Street,Arlington,76010,199900,,4.0,2.0
2817,5403 Creek Valley Drive,Arlington,76018,219900,,2.0,1.0
2818,6600 W Lynn Creek Drive,Arlington,76001,220000,,3.0,2.0
2819,1706 Rockdale Drive,Arlington,76018,244900,,4.0,2.0
2820,2409 Windy Pine Lane,Arlington,76015,245000,,4.0,4.0
2821,7116 Greenspring Drive,Arlington,76016,265000,,4.0,3.0
2822,1901 Los Cabos Lane,Arlington,76012,369900,,3.0,2.0
2823,2701 W Green Oaks Boulevard,Arlington,76016,385000,,4.0,2.0
2824,3818 Plum Vista Place,Arlington,76005,700000,,4.0,4.0
2825,2112 Amesbury Drive,Arlington,76011,149900,,2.0,1.0
2826,1744 Sharon Street,Arlington,76010,164900,,3.0,1.0
2827,456 Westview Terrace,Arlington,76013,194900,,3.0,3.0
2828,203 Ray Street,Arlington,76010,199000,,3.0,1.0
2829,2114 Reflection Bay Drive,Arlington,76013,215000,,2.0,2.0
2830,2309 Norwich Court,Arlington,76015,235000,,3.0,2.0
2831,1402 Rockdale DR,Arlington,76018,250000,,3.0,2.0
2832,1507 Tulip Drive,Arlington,76013,299900,,4.0,2.0
2833,1815 Elmhurst Drive,Arlington,76012,300000,,4.0,3.0
2834,7509 Lake Park Court,Arlington,76016,300000,,3.0,3.0
2835,7706 White Fawn Road,Arlington,76002,324990,,4.0,2.0
2836,1925 Rockbrook Drive,Arlington,76006,339000,,5.0,3.0
2837,2730 Antero Drive,Arlington,76006,389900,,4.0,3.0
2838,4411 Enchanted Oaks Drive,Arlington,76016,430000,,4.0,5.0
2839,6607 Nantucket Lane,Arlington,76001,432000,,4.0,3.0
2840,1209 White Squall,Arlington,76005,606955,,4.0,4.0
2841,6120 Ivy Glen Drive,Arlington,76017,200000,,3.0,2.0
2842,5210 Tuscola Drive,Arlington,76018,210000,,3.0,2.0
2843,6805 Valley Branch Drive,Arlington,76001,247000,,3.0,2.0
2844,4914 Millsprings Court,Arlington,76017,249900,,3.0,2.0
2845,1317 Brookmeadow Court,Arlington,76018,270000,,4.0,3.0
2846,1715 Northwood Court,Arlington,76012,305000,,3.0,2.0
2847,924 Dunkirk Lane,Arlington,76017,315000,,5.0,4.0
2848,3920 Canton Jade Way,Arlington,76005,329999,,3.0,3.0
2849,1205 Beaconsfield Lane,Arlington,76011,380000,,3.0,3.0
2850,1005 Findlay Drive,Arlington,76012,415000,,4.0,3.0
2851,6712 Meadowcrest Drive,Arlington,76002,275000,,3.0,2.0
2852,2319 Everton DR,Arlington,76001,325000,,4.0,3.0
2853,7322 Roaring Springs,Arlington,76002,381466,,3.0,2.0
2854,2505 Highgate Drive,Arlington,76016,264900,,3.0,2.0
2855,1861 Larkspur Drive,Arlington,76013,315000,,3.0,2.0
2856,2300 Newbury Drive,Arlington,76014,175000,,3.0,1.0
2857,510 Orange Street,Arlington,76012,275000,,4.0,2.0
2858,202 Fort Edward Drive,Arlington,76002,299900,,4.0,3.0
2859,5104 Antony Court,Arlington,76017,330000,,3.0,3.0
2860,2105 Stonehill Court,Arlington,76012,349900,,4.0,3.0
2861,4209 Aspen Grove Court,Arlington,76005,499000,,3.0,4.0
2862,2104 Friendly Drive,Arlington,76011,159900,,2.0,2.0
2863,929 CEDARLAND Boulevard,Arlington,76011,183000,,2.0,1.0
2864,1500 Legget Street,Arlington,76018,196000,,3.0,2.0
2865,811 Engleside Drive,Arlington,76018,240000,,3.0,2.0
2866,400 Colgate Court,Arlington,76014,245000,,4.0,2.0
2867,2007 Ford Street,Arlington,76013,248950,,3.0,2.0
2868,5511 Grissom Drive,Arlington,76016,257900,,3.0,2.0
