,Price,# of Beds,# of Baths,Address,City,Zip Code
74,"$259,000",4 Bd,3 bath,2507 S Vernon Avenue,"Dallas, TX",75224
75,"$275,000",4 Bd,3 bath,9835 Whistler Drive,"Dallas, TX",75217
76,"$279,000",2 Bd,3 bath,5200 Martel Avenue,"Dallas, TX",75206
77,"$300,000",2 Bd,2 bath,2150 Lovedale Avenue,"Dallas, TX",75235
78,"$320,000",3 Bd,3 bath,4834 Fallon Place,"Dallas, TX",75227
79,"$325,000",2 Bd,2 bath,1407 Glenfield Avenue,"Dallas, TX",75224
80,"$325,000",3 Bd,2 bath,1627 Wilbur Street,"Dallas, TX",75224
81,"$340,000",2 Bd,2 bath,13911 Preston Valley Place,"Dallas, TX",75240
82,"$379,900",3 Bd,3 bath,9752 Burney Drive,"Dallas, TX",75243
83,"$435,000",3 Bd,2 bath,11232 Lanewood Circle,"Dallas, TX",75218
84,"$449,900",3 Bd,3 bath,2217 Kirby Street,"Dallas, TX",75204
85,"$459,990",2 Bd,3 bath,5015 Manett Street,"Dallas, TX",75206
86,"$470,000",2 Bd,3 bath,4611 Travis Street,"Dallas, TX",75205
87,"$475,000",3 Bd,3 bath,9703 Robin Hill Circle,"Dallas, TX",75238
88,"$475,000",4 Bd,2 bath,9723 Lanward Circle,"Dallas, TX",75238
89,"$485,000",3 Bd,3 bath,1632 Vaughan Court,"Dallas, TX",75208
90,"$509,900",3 Bd,4 bath,17201 Meadow Tree Circle,"Dallas, TX",75248
91,"$519,900",4 Bd,3 bath,202 S Edgefield Avenue,"Dallas, TX",75208
92,"$539,000",3 Bd,3 bath,180 S Cisco Street,"Dallas, TX",75226
93,"$599,000",3 Bd,3 bath,7001 Vivian Avenue,"Dallas, TX",75223
94,"$725,000",5 Bd,4 bath,10849 Scotspring Lane,"Dallas, TX",75218
95,"$725,000",4 Bd,4 bath,7704 Queens Garden Drive,"Dallas, TX",75248
96,"$759,000",5 Bd,4 bath,9591 Highedge Drive,"Dallas, TX",75238
97,"$799,000",3 Bd,3 bath,9118 Rock Daisy Court,"Dallas, TX",75231
98,"$850,000",5 Bd,6 bath,6858 Meadowcreek Drive,"Dallas, TX",75254
99,"$899,000",4 Bd,5 bath,9515 Moss Haven Drive,"Dallas, TX",75231
100,"$1,400,000",3 Bd,3 bath,6230 Joyce Way,"Dallas, TX",75225
101,"$1,595,000",5 Bd,5 bath,5331 Emerson Avenue,"Dallas, TX",75209
102,"$2,250,000",5 Bd,5 bath,5122 Horseshoe Trail,"Dallas, TX",75209
103,"$3,400",1 Bd,2 bath,2900 Mckinnon Street,"Dallas, TX",75201
104,"$30,000",0 Bd,0 bath,3139 Mcdermott Avenue,"Dallas, TX",75215
105,"$82,500",1 Bd,1 bath,5001 Bowser Avenue,"Dallas, TX",75209
106,"$89,900",1 Bd,1 bath,8601 Park Lane,"Dallas, TX",75231
107,"$125,375",3 Bd,1 bath,2121 Lolita Drive,"Dallas, TX",75227
108,"$128,500",1 Bd,1 bath,2627 Douglas Avenue,"Dallas, TX",75219
109,"$129,900",2 Bd,1 bath,8550 Fair Oaks Crossing,"Dallas, TX",75243
110,"$129,900",3 Bd,2 bath,3700 Hancock Street,"Dallas, TX",75210
111,"$130,000",2 Bd,1 bath,10121 Stebbins Street,"Dallas, TX",75217
112,"$130,000",1 Bd,1 bath,5550 Spring Valley Road,"Dallas, TX",75254
113,"$135,000",2 Bd,2 bath,9801 Royal Lane,"Dallas, TX",75231
114,"$139,000",2 Bd,2 bath,12888 Montfort Drive,"Dallas, TX",75230
115,"$144,000",2 Bd,"1 bath
    | 868",8600 Coppertowne Lane #1705,"Dallas, TX",75243
116,"$145,000",2 Bd,1 bath,4117 Pampas Street,"Dallas, TX",75211
117,"$145,000",1 Bd,1 bath,5335 Bent Tree Forest Drive,"Dallas, TX",75248
118,"$146,750",3 Bd,1 bath,8615 Files Street,"Dallas, TX",75217
119,"$154,900",3 Bd,2 bath,511 Glencairn Drive,"Dallas, TX",75232
120,"$155,000",3 Bd,1 bath,3038 Marjorie Avenue,"Dallas, TX",75216
121,"$169,000",4 Bd,2 bath,4410 Cinda Ree Lane,"Dallas, TX",75216
122,"$174,900",2 Bd,2 bath,7706 Meadow Road,"Dallas, TX",75230
123,"$175,000",3 Bd,2 bath,1816 Peabody Avenue,"Dallas, TX",75215
124,"$177,000",2 Bd,2 bath,5051 N Hall Street,"Dallas, TX",75235
125,"$178,374",4 Bd,2 bath,1920 Oak Hill Circle,"Dallas, TX",75217
126,"$180,000",0 Bd,0 bath,12002 Garden Grove Drive,"Dallas, TX",75253
127,"$180,000",1 Bd,2 bath,5100 Verde Valley Lane,"Dallas, TX",75254
128,"$184,000",2 Bd,2 bath,5881 Preston View Boulevard,"Dallas, TX",75240
129,"$184,000",1 Bd,2 bath,7640 W Greenway Boulevard,"Dallas, TX",75209
130,"$189,000",3 Bd,2 bath,1619 Mcadams Avenue,"Dallas, TX",75224
131,"$190,000",3 Bd,2 bath,2314 Toulon Lane,"Dallas, TX",75227
132,"$195,000",4 Bd,2 bath,4105 Hamilton Avenue,"Dallas, TX",75210
133,"$215,995",3 Bd,2 bath,1811 Goldwood Drive,"Dallas, TX",75232
134,"$217,000",3 Bd,3 bath,5808 Sandhurst Lane,"Dallas, TX",75206
135,"$225,000",5 Bd,2 bath,2720 E Atoll Drive,"Dallas, TX",75216
